sigx,RF,CMOD,disp,steps
0.5455250649417568,-40.15491471137737,0.0019347344422036249,-0.13577071659319684,0.07538769384692347
0.5495333311221631,-40.449954439582484,0.0019489499776669424,-0.13676829719483893,0.07593796898449225
0.5535415461001428,-40.74499293343514,0.0019631654810127117,-0.13776587824150385,0.07648824412206104
0.5575498493055663,-41.04003331971062,0.001977381035670977,-0.13876345860164055,0.07703851925962982
0.5615581202955618,-41.33507332032103,0.001991596577066948,-0.1397610390899421,0.0775887943971986
0.5655663123137008,-41.63010938271359,0.0020058120531903506,-0.1407586210084955,0.07813906953476739
0.5695746419080879,-41.92515166024019,0.0020200276169981476,-0.14175620068831188,0.07868934467233617
0.5735829174684862,-42.220191829651675,0.0020342431809075683,-0.1427537811200675,0.07923961980990496
0.5775911798069121,-42.51523165208358,0.0020484587123806228,-0.14375136169445815,0.07978989494747374
0.5815994579762623,-42.810270908450875,0.002062674256657269,-0.14474894244537925,0.08034017008504252
0.5856077034322328,-43.105310052595776,0.0020768897513942855,-0.1457465232831043,0.08089044522261131
0.5896159843825217,-43.40035009253291,0.0020911053237462583,-0.14674410375253966,0.08144072036018009
0.5936241868296065,-43.69538859891802,0.0021053208274869964,-0.14774168480965227,0.08199099549774888
0.5976325209824199,-43.99042953316287,0.0021195363971430424,-0.14873926494558812,0.08254127063531766
0.601640786317052,-44.28546845340775,0.0021337519289289335,-0.1497368458198255,0.08309154577288645
0.6056489716698008,-44.58050575451924,0.002147967411362129,-0.150734427277503,0.08364182091045523
0.6096572490673978,-44.8755465783375,0.002162182965911457,-0.1517320075139812,0.08419209604802401
0.613665495467548,-45.17058470107814,0.0021763984800306814,-0.1527295886650145,0.0847423711855928
0.6176738320150824,-45.4656264032414,0.002190614034931513,-0.15372716855902419,0.08529264632316158
0.6216821156009619,-45.76066623457488,0.002204829603261873,-0.15472474910512643,0.08584292146073037
0.6256903814814495,-46.05570599933814,0.0022190451391768257,-0.1557223296966329,0.08639319659829915
0.6296986353706245,-46.350745809752084,0.002233260664735351,-0.1567199102687846,0.08694347173586793
0.6337069044798247,-46.64578523820933,0.0022474762032895605,-0.1577174909644716,0.08749374687343672
0.6377151286977805,-46.94082381004489,0.0022616917129754076,-0.1587150719818395,0.0880440220110055
0.6417234248418635,-47.23586312440547,0.0022759072436366982,-0.1597126527091577,0.0885942971485743
0.6457317105051745,-47.530903771339034,0.002290122813179498,-0.16071023298874273,0.08914457228614307
