w_max,force
0.08906462601733967,0.037407142927282665
0.615580975472942,0.25854400969863567
0.35955231914617247,0.15101197404139247
0.7319947126884913,0.3074377793291664
0.3166793664475226,0.13300533390795952
0.21181007535293128,0.08896023164823116
0.15318602538802173,0.06433813066296915
0.778261526520544,0.32686984113862855
0.3484248921241261,0.146338454692133
0.5409728712542846,0.2272086059267996
0.6314691327770888,0.26521703576637734
0.41299943687633955,0.17345976348806266
0.5078930418283846,0.21331507756792156
0.18189590675397327,0.07639628083666879
0.6139713377703969,0.25786796186356675
0.5147270597037963,0.2161853650755945
0.5039854885166795,0.21167390517700543
0.023223645543533622,0.009753931128284123
0.5021477236517793,0.21090204393374734
0.17959575558020668,0.07543021734368682
0.8597330931841902,0.36108789913736
0.8270846107925068,0.34737553653285297
0.4647100356564027,0.19517821497568916
0.7576828951982213,0.31822681598325303
0.3765306936053888,0.15814289131426335
0.1874642818812562,0.07873499839012761
0.18503480158693875,0.07771461666651429
0.5962553898027037,0.2504272637171356
0.5542036974441271,0.23276555292653345
0.7213683488453535,0.30297470651504854
0.7061497911499658,0.2965829122829857
0.843315038357695,0.35419231611023194
0.4140219351187405,0.17388921274987107
0.043934890536486026,0.018452654025324134
0.5800612091334948,0.24362570783606788
0.05733392118160152,0.024080246896272646
0.04586661001729064,0.019263976207262074
0.3233306822939829,0.13579888656347283
0.005037086677646463,0.002115576404611515
0.5128565061414957,0.21539973257942824
0.561432331581734,0.23580157926432832
0.7011454938431964,0.2944811074141425
0.33600841855628993,0.1411235357936418
0.5158134763378381,0.21664166006189206
0.5157237084611714,0.21660395755369205
0.27420390268338124,0.11516563912702014
0.9780940906717146,0.41079951808212023
0.7876736423592514,0.3308229297908857
0.5310069466733662,0.22302291760281387
0.4388595774428008,0.18432102252597637
0.04936783153308133,0.020734489243894164
0.6278684175050901,0.2637047353521379
0.08447128816496341,0.03547794102928464
0.25754367397991584,0.10816834307156468
0.9391325075519723,0.39443565317182844
0.2584804484572534,0.10856178835204644
0.043427167288688895,0.01823941026124934
0.20294499610791605,0.08523689836532476
0.8148982628808127,0.3422572704099414
0.2091900646459146,0.08785982715128415
0.37876672735657857,0.15908202548976302
0.9179887196693903,0.385555262261144
0.5480796660603586,0.2301934597453507
0.28041440027316,0.11777404811472723
0.9799184015533521,0.411565728652408
0.44489102754044585,0.1868542315669873
0.635038223622842,0.2667160539215937
0.6500439047817745,0.27301844000834535
0.38916686840676706,0.16345008473084222
0.2016043216089638,0.08467381507576481
0.31946199264678665,0.13417403691165042
0.2386869630876628,0.1002485244968184
0.13437283621831675,0.056436591211693046
